month,hour,value
1,1,1
1,2,2
1,3,3
1,4,3
1,5,5
1,6,13
1,7,20
1,8,28
1,9,33
1,10,37
1,11,42
1,12,46
1,13,52
1,14,53
1,15,59
1,16,60
1,17,72
1,18,70
1,19,59
1,20,51
1,21,51
1,22,43
1,23,38
2,1,1
2,2,2
2,3,2
2,4,3
2,5,4
2,6,10
2,7,17
2,8,24
2,9,29
2,10,32
2,11,39
2,12,42
2,13,47
2,14,49
2,15,56
2,16,57
2,17,60
2,18,60
2,19,52
2,20,47
2,21,42
2,22,35
2,23,32
3,1,1
3,2,2
3,3,3
3,4,3
3,5,6
3,6,11
3,7,19
3,8,28
3,9,35
3,10,42
3,11,43
3,12,46
3,13,51
3,14,57
3,15,63
3,16,67
3,17,71
3,18,58
3,19,57
3,20,54
3,21,48
3,22,42
3,23,36
4,1,0
4,2,2
4,3,2
4,4,3
4,5,5
4,6,9
4,7,17
4,8,25
4,9,29
4,10,33
4,11,39
4,12,48
4,13,48
4,14,56
4,15,61
4,16,70
4,17,68
4,18,65
4,19,54
4,20,55
4,21,48
4,22,44
4,23,35
5,1,1
5,2,2
5,3,2
5,4,3
5,5,5
5,6,10
5,7,20
5,8,27
5,9,32
5,10,37
5,11,43
5,12,48
5,13,49
5,14,56
5,15,64
5,16,75
5,17,72
5,18,64
5,19,62
5,20,60
5,21,51
5,22,47
5,23,33
6,1,1
6,2,2
6,3,2
6,4,2
6,5,6
6,6,10
6,7,19
6,8,26
6,9,32
6,10,37
6,11,45
6,12,47
6,13,54
6,14,60
6,15,69
6,16,87
6,17,81
6,18,72
6,19,65
6,20,63
6,21,55
6,22,49
6,23,46
7,1,1
7,2,2
7,3,3
7,4,3
7,5,6
7,6,8
7,7,15
7,8,24
7,9,32
7,10,36
7,11,44
7,12,49
7,13,51
7,14,58
7,15,56
7,16,73
7,17,76
7,18,72
7,19,64
7,20,59
7,21,57
7,22,45
7,23,43
8,1,1
8,2,2
8,3,3
8,4,4
8,5,6
8,6,9
8,7,19
8,8,24
8,9,29
8,10,39
8,11,41
8,12,52
8,13,55
8,14,58
8,15,64
8,16,69
8,17,70
8,18,65
8,19,57
8,20,60
8,21,52
8,22,45
8,23,36
9,1,1
9,2,2
9,3,2
9,4,3
9,5,6
9,6,9
9,7,20
9,8,26
9,9,30
9,10,36
9,11,41
9,12,49
9,13,51
9,14,54
9,15,60
9,16,66
9,17,70
9,18,64
9,19,61
9,20,56
9,21,49
9,22,40
9,23,33
10,1,1
10,2,1
10,3,3
10,4,4
10,5,7
10,6,12
10,7,21
10,8,29
10,9,36
10,10,41
10,11,46
10,12,51
10,13,52
10,14,57
10,15,65
10,16,73
10,17,75
10,18,67
10,19,72
10,20,54
10,21,49
10,22,48
10,23,36
11,1,1
11,2,2
11,3,2
11,4,3
11,5,5
11,6,10
11,7,19
11,8,29
11,9,31
11,10,40
11,11,41
11,12,45
11,13,51
11,14,56
11,15,61
11,16,64
11,17,78
11,18,73
11,19,60
11,20,51
11,21,49
11,22,39
11,23,40
12,1,1
12,2,2
12,3,3
12,4,4
12,5,6
12,6,11
12,7,20
12,8,29
12,9,33
12,10,43
12,11,45
12,12,50
12,13,56
12,14,60
12,15,80
12,16,76
12,17,88
12,18,80
12,19,62
12,20,55
12,21,51
12,22,52
12,23,47
